100;100000;3
100;200000;10
100;300000;21
100;400000;37
100;500000;58
100;600000;86
100;700000;116
100;800000;151
100;900000;193
100;1000000;234
1000;100000;2
1000;200000;9
1000;300000;21
1000;400000;37
1000;500000;61
1000;600000;91
1000;700000;111
1000;800000;146
1000;900000;180
1000;1000000;228
10000;100000;3
10000;200000;9
10000;300000;21
10000;400000;37
10000;500000;58
10000;600000;83
10000;700000;113
10000;800000;146
10000;900000;185
10000;1000000;228
100;100000;3
100;200000;10
100;300000;21
100;400000;38
100;500000;59
100;600000;84
100;700000;123
100;800000;151
100;900000;186
100;1000000;230
1000;100000;2
1000;200000;9
1000;300000;20
1000;400000;36
1000;500000;56
1000;600000;80
1000;700000;110
1000;800000;142
1000;900000;184
1000;1000000;226
10000;100000;3
10000;200000;9
10000;300000;21
10000;400000;37
10000;500000;57
10000;600000;83
10000;700000;112
10000;800000;146
10000;900000;184
10000;1000000;226
100;100000;2
100;200000;10
100;300000;21
100;400000;37
100;500000;58
100;600000;82
100;700000;112
100;800000;144
100;900000;186
100;1000000;230
1000;100000;2
1000;200000;9
1000;300000;20
1000;400000;36
1000;500000;56
1000;600000;81
1000;700000;110
1000;800000;144
1000;900000;183
1000;1000000;225
10000;100000;3
10000;200000;9
10000;300000;21
10000;400000;37
10000;500000;57
10000;600000;82
10000;700000;112
10000;800000;145
10000;900000;184
10000;1000000;226
100;100000;3
100;200000;10
100;300000;21
100;400000;36
100;500000;58
100;600000;83
100;700000;111
100;800000;160
100;900000;195
100;1000000;235
1000;100000;2
1000;200000;9
1000;300000;21
1000;400000;38
1000;500000;59
1000;600000;85
1000;700000;128
1000;800000;152
1000;900000;187
1000;1000000;223
10000;100000;3
10000;200000;9
10000;300000;21
10000;400000;42
10000;500000;75
10000;600000;90
10000;700000;116
10000;800000;150
10000;900000;193
10000;1000000;249
100;100000;3
100;200000;10
100;300000;22
100;400000;38
100;500000;60
100;600000;100
100;700000;114
100;800000;173
100;900000;190
100;1000000;242
1000;100000;2
1000;200000;9
1000;300000;21
1000;400000;38
1000;500000;58
1000;600000;84
1000;700000;113
1000;800000;148
1000;900000;188
1000;1000000;302
10000;100000;3
10000;200000;11
10000;300000;22
10000;400000;38
10000;500000;61
10000;600000;87
10000;700000;117
10000;800000;154
10000;900000;194
10000;1000000;244
